model,variation,content,style,lpips,dinov2,psnr,ssim
AA,controlnet_ip_adapter,content3,style1,0.554619,0.754349,8.799745,0.193440
AA,controlnet_ip_adapter,content3,style2,0.681357,0.898901,9.302762,0.096864
AA,controlnet_ip_adapter,content3,style3,0.654831,0.840039,9.507115,0.150476
AA,controlnet_ip_adapter,content3,style4,0.557118,0.818609,10.752182,0.180912
AA,controlnet_ip_adapter,content3,style5,0.593572,0.652456,10.302337,0.113186
AA,controlnet_ip_adapter,content4,style1,0.451598,0.669645,7.167163,0.316431
AA,controlnet_ip_adapter,content4,style2,0.563645,0.797162,8.128670,0.225980
AA,controlnet_ip_adapter,content4,style3,0.586445,0.916936,7.719142,0.236591
AA,controlnet_ip_adapter,content4,style4,0.465256,0.526232,10.181362,0.320275
AA,controlnet_ip_adapter,content4,style5,0.511408,0.496817,9.331142,0.295243
AA,controlnet_ip_adapter,content5,style1,0.642127,0.560393,11.785231,0.207645
AA,controlnet_ip_adapter,content5,style2,0.692529,0.784018,10.072430,0.150513
AA,controlnet_ip_adapter,content5,style3,0.690251,0.709577,11.326758,0.148548
AA,controlnet_ip_adapter,content5,style4,0.617451,0.600310,9.588994,0.150017
AA,controlnet_ip_adapter,content5,style5,0.559905,0.311376,12.825056,0.160760
BB,no_adapter,content1,style1,0.322556,0.737544,18.889732,0.663248
BB,no_adapter,content1,style2,0.285714,0.919646,19.375481,0.667705
BB,no_adapter,content1,style3,0.342729,1.008599,19.178022,0.666482
BB,no_adapter,content1,style4,0.334532,0.769284,18.964647,0.667052
BB,no_adapter,content1,style5,0.354905,0.874885,19.037851,0.658233
BB,no_adapter,content2,style1,0.323911,0.745991,18.251867,0.556511
BB,no_adapter,content2,style2,0.272734,0.920305,18.200977,0.572799
BB,no_adapter,content2,style3,0.408724,0.914808,17.915052,0.545462
BB,no_adapter,content2,style4,0.274661,0.847506,18.299583,0.568415
BB,no_adapter,content2,style5,0.329751,0.811420,18.148922,0.552231
BB,no_adapter,content3,style1,0.217690,1.037463,20.658861,0.748747
BB,no_adapter,content3,style2,0.226026,1.007259,19.969164,0.737239
BB,no_adapter,content3,style3,0.231575,0.934419,20.130239,0.733902
BB,no_adapter,content3,style4,0.219884,1.013015,20.139141,0.739101
BB,no_adapter,content3,style5,0.218784,0.997647,20.037359,0.739668
BB,no_adapter,content4,style1,0.174683,0.838324,19.213436,0.704425
BB,no_adapter,content4,style2,0.195540,0.956642,18.796144,0.686006
BB,no_adapter,content4,style3,0.223064,0.943618,18.868166,0.689579
BB,no_adapter,content4,style4,0.207323,0.813149,19.143591,0.695155
BB,no_adapter,content4,style5,0.194241,0.925439,18.840681,0.687033
BB,no_adapter,content5,style1,0.403243,0.940021,19.901031,0.523553
BB,no_adapter,content5,style2,0.327435,0.957936,19.254025,0.520091
BB,no_adapter,content5,style3,0.397208,0.782636,18.800186,0.516684
BB,no_adapter,content5,style4,0.383786,0.761432,19.914631,0.520196
BB,no_adapter,content5,style5,0.353893,0.811236,19.382851,0.517264
BB,only_ip_adapter,content1,style1,0.363488,0.550590,15.216049,0.617636
BB,only_ip_adapter,content1,style2,0.344770,0.698208,15.873235,0.618243
BB,only_ip_adapter,content1,style3,0.494412,0.789481,15.704041,0.609718
BB,only_ip_adapter,content1,style4,0.350189,0.699233,17.648846,0.657603
BB,only_ip_adapter,content1,style5,0.393186,0.648911,15.787643,0.622522
BB,only_ip_adapter,content2,style1,0.372457,0.450072,15.221478,0.520988
BB,only_ip_adapter,content2,style2,0.421170,0.559500,15.825901,0.503991
BB,only_ip_adapter,content2,style3,0.563864,0.685124,15.210797,0.492979
BB,only_ip_adapter,content2,style4,0.307829,0.434924,17.538160,0.565931
BB,only_ip_adapter,content2,style5,0.431085,0.618595,15.923838,0.514595
BB,only_ip_adapter,content3,style1,0.300994,0.896060,18.047682,0.716264
BB,only_ip_adapter,content3,style2,0.261937,0.989836,18.435200,0.714120
